"","index","volume","change","time","trader","industry","months"
"1","1","68833","0.00827220468736693","minute","E","health","2"
"2","2","95818","0.0056798344304022","minute","C","health","6"
"3","3","102997","0.00318351560088551","minute","D","software","4"
"4","4","94789","0.0168560970612736","minute","B","auto","6"
"5","5","117456","0.0262463146375254","minute","E","auto","5"
"6","6","105480","-0.00342689333176158","minute","C","software","4"
"7","7","59105","-0.0127978786789819","minute","B","health","4"
"8","8","148348","0.00935309017925279","minute","E","auto","4"
"9","9","80175","0.016940160422108","minute","C","software","2"
"10","10","98175","-0.00441609431658806","minute","E","telco","2"
"11","11","126364","0.0225739127001852","minute","A","manufact","6"
"12","12","130820","0.0159567710545603","minute","B","telco","6"
"13","13","78952","0.00999081084922417","minute","C","manufact","4"
"14","14","76554","0.00680426769126713","minute","E","auto","1"
"15","15","121234","0.0107244193836066","minute","D","auto","5"
"16","16","106123","0.00155412278048062","minute","E","health","4"
"17","17","135281","0.0204781377969126","minute","B","health","5"
"18","18","125908","0.0254046274780065","minute","E","auto","1"
"19","19","90712","0.0107630698417616","minute","D","software","4"
"20","20","142301","0.018169028995797","minute","D","health","3"
"21","21","38289","0.0112477904662639","minute","E","telco","5"
"22","22","116487","0.00625891826933695","minute","D","telco","2"
"23","23","55951","0.00990003467864456","minute","B","software","5"
"24","24","36986","0.0196025102395453","minute","C","health","4"
"25","25","136468","-2.48515463275381e-05","minute","A","auto","1"
"26","26","118285","0.0012961146664101","minute","B","software","3"
"27","27","93054","0.0245184308740154","minute","B","software","6"
"28","28","65156","0.0106409410602442","minute","D","software","3"
"29","29","143890","0.00880387287736863","minute","C","auto","4"
"30","30","104488","0.0104978663509363","minute","E","health","2"
"31","31","101888","0.00822277311422108","minute","D","health","3"
"32","32","79135","0.00309605454762123","minute","A","software","2"
"33","33","66078","0.0186369332555508","minute","D","telco","3"
"34","34","121981","0.0132990797214128","minute","A","software","2"
"35","35","140275","0.00118728097264633","minute","A","auto","5"
"36","36","135716","0.0146336797719124","minute","B","auto","5"
"37","37","100339","0.00899960007426649","minute","D","auto","1"
"38","38","92626","0.00177380670171932","minute","B","auto","3"
"39","39","127350","0.0127326358979186","minute","C","software","5"
"40","40","58116","1.63677134202636e-05","minute","C","telco","5"
"41","41","108215","0.0115552468091519","minute","B","telco","4"
"42","42","53861","0.0303084117165532","minute","B","manufact","2"
"43","43","114356","-0.00335383207170097","minute","D","software","4"
